Hour,Total Outflow cfs,Generation Flow cfs,Spill cfs,Forebay Elevation,Tailwater Elevation,Average Head,Date
1,1550,1550,0,1197.14,1109.43,87.71,4/7/2022
2,1560,1560,0,1196.14,1109.45,86.69,4/7/2022
3,1550,1550,0,1195.12,1109.41,85.71,4/7/2022
4,1550,1550,0,1194.07,1109.43,84.64,4/7/2022
5,1560,1560,0,1195.63,1109.45,86.18,4/7/2022
6,1580,1580,0,1198.32,1109.41,88.91,4/7/2022
7,1550,1550,0,1197.3,1109.38,87.92,4/7/2022
8,1530,1530,0,1196.31,1109.39,86.92,4/7/2022
9,1530,1530,0,1195.29,1109.43,85.86,4/7/2022
10,1520,1520,0,1194.26,1109.37,84.89,4/7/2022
11,1520,1520,0,1193.24,1109.37,83.87,4/7/2022
12,1520,1520,0,1192.15,1109.36,82.79,4/7/2022
13,1530,1530,0,1192.94,1109.37,83.57,4/7/2022
14,1530,1530,0,1193.93,1109.4,84.53,4/7/2022
15,1560,1560,0,1194.89,1109.41,85.48,4/7/2022
16,1570,1570,0,1195.85,1109.45,86.4,4/7/2022
17,1570,1570,0,1196.78,1109.4,87.38,4/7/2022
18,1600,1600,0,1197.66,1109.5,88.16,4/7/2022
19,1580,1580,0,1196.88,1109.46,87.42,4/7/2022
20,1560,1560,0,1195.89,1109.42,86.47,4/7/2022
21,1550,1550,0,1198.14,1109.41,88.73,4/7/2022
22,1570,1570,0,1198.52,1109.45,89.07,4/7/2022
23,1560,1560,0,1197.55,1109.41,88.14,4/7/2022
24,1560,1560,0,1196.6,1109.41,87.19,4/7/2022
,,,,,,,4/7/2022
AVG,1552,1552,0,1195.86,1109.42,86.44,4/7/2022
,,,,,,,4/7/2022
MAX,1600,1600,0,1198.52,1109.5,89.07,4/7/2022
MIN,1520,1520,0,1192.15,1109.36,82.79,4/7/2022
1,1560,1560,0,1195.65,1109.42,86.23,4/8/2022
2,1560,1560,0,1194.79,1109.4,85.39,4/8/2022
3,1530,1530,0,1193.93,1109.42,84.51,4/8/2022
4,1530,1530,0,1193.08,1109.41,83.67,4/8/2022
5,1530,1530,0,1192.25,1109.38,82.87,4/8/2022
6,1530,1530,0,1191.38,1109.39,81.99,4/8/2022
7,1520,1520,0,1190.56,1109.37,81.19,4/8/2022
8,1510,1510,0,1191.72,1109.36,82.36,4/8/2022
9,1530,1530,0,1193.02,1109.4,83.62,4/8/2022
10,1560,1560,0,1194.27,1109.42,84.85,4/8/2022
11,1550,1550,0,1195.46,1109.42,86.04,4/8/2022
12,1560,1560,0,1196.68,1109.44,87.24,4/8/2022
13,1560,1560,0,1197.83,1109.42,88.41,4/8/2022
14,1570,1570,0,1198.97,1109.48,89.49,4/8/2022
15,1580,1580,0,1200.07,1109.46,90.61,4/8/2022
16,1590,1590,0,1201.13,1109.44,91.69,4/8/2022
17,1590,1590,0,1202.12,1109.51,92.61,4/8/2022
18,1600,1600,0,1201.46,1109.48,91.98,4/8/2022
19,1580,1580,0,1200.75,1109.46,91.29,4/8/2022
