datetime,Hour,Total Outflow cfs,Generation Flow cfs,Spill cfs,Forebay Elevation,Tailwater Elevation,Average Head,Date
2022-04-07 01:00:00,1,1550.0,1550.0,0.0,1197.14,1109.43,87.71,4/7/2022
2022-04-07 02:00:00,2,1560.0,1560.0,0.0,1196.14,1109.45,86.69,4/7/2022
2022-04-07 03:00:00,3,1550.0,1550.0,0.0,1195.12,1109.41,85.71,4/7/2022
2022-04-07 04:00:00,4,1550.0,1550.0,0.0,1194.07,1109.43,84.64,4/7/2022
2022-04-07 05:00:00,5,1560.0,1560.0,0.0,1195.63,1109.45,86.18,4/7/2022
2022-04-07 06:00:00,6,1580.0,1580.0,0.0,1198.32,1109.41,88.91,4/7/2022
2022-04-07 07:00:00,7,1550.0,1550.0,0.0,1197.3,1109.38,87.92,4/7/2022
2022-04-07 08:00:00,8,1530.0,1530.0,0.0,1196.31,1109.39,86.92,4/7/2022
2022-04-07 09:00:00,9,1530.0,1530.0,0.0,1195.29,1109.43,85.86,4/7/2022
2022-04-07 10:00:00,10,1520.0,1520.0,0.0,1194.26,1109.37,84.89,4/7/2022
2022-04-07 11:00:00,11,1520.0,1520.0,0.0,1193.24,1109.37,83.87,4/7/2022
2022-04-07 12:00:00,12,1520.0,1520.0,0.0,1192.15,1109.36,82.79,4/7/2022
2022-04-07 13:00:00,13,1530.0,1530.0,0.0,1192.94,1109.37,83.57,4/7/2022
2022-04-07 14:00:00,14,1530.0,1530.0,0.0,1193.93,1109.4,84.53,4/7/2022
2022-04-07 15:00:00,15,1560.0,1560.0,0.0,1194.89,1109.41,85.48,4/7/2022
2022-04-07 16:00:00,16,1570.0,1570.0,0.0,1195.85,1109.45,86.4,4/7/2022
2022-04-07 17:00:00,17,1570.0,1570.0,0.0,1196.78,1109.4,87.38,4/7/2022
2022-04-07 18:00:00,18,1600.0,1600.0,0.0,1197.66,1109.5,88.16,4/7/2022
2022-04-07 19:00:00,19,1580.0,1580.0,0.0,1196.88,1109.46,87.42,4/7/2022
2022-04-07 20:00:00,20,1560.0,1560.0,0.0,1195.89,1109.42,86.47,4/7/2022
2022-04-07 21:00:00,21,1550.0,1550.0,0.0,1198.14,1109.41,88.73,4/7/2022
2022-04-07 22:00:00,22,1570.0,1570.0,0.0,1198.52,1109.45,89.07,4/7/2022
2022-04-07 23:00:00,23,1560.0,1560.0,0.0,1197.55,1109.41,88.14,4/7/2022
2022-04-07 23:59:59,24,1560.0,1560.0,0.0,1196.6,1109.41,87.19,4/7/2022
2022-04-08 01:00:00,1,1560.0,1560.0,0.0,1195.65,1109.42,86.23,4/8/2022
2022-04-08 02:00:00,2,1560.0,1560.0,0.0,1194.79,1109.4,85.39,4/8/2022
2022-04-08 03:00:00,3,1530.0,1530.0,0.0,1193.93,1109.42,84.51,4/8/2022
2022-04-08 04:00:00,4,1530.0,1530.0,0.0,1193.08,1109.41,83.67,4/8/2022
2022-04-08 05:00:00,5,1530.0,1530.0,0.0,1192.25,1109.38,82.87,4/8/2022
2022-04-08 06:00:00,6,1530.0,1530.0,0.0,1191.38,1109.39,81.99,4/8/2022
2022-04-08 07:00:00,7,1520.0,1520.0,0.0,1190.56,1109.37,81.19,4/8/2022
2022-04-08 08:00:00,8,1510.0,1510.0,0.0,1191.72,1109.36,82.36,4/8/2022
2022-04-08 09:00:00,9,1530.0,1530.0,0.0,1193.02,1109.4,83.62,4/8/2022
2022-04-08 10:00:00,10,1560.0,1560.0,0.0,1194.27,1109.42,84.85,4/8/2022
2022-04-08 11:00:00,11,1550.0,1550.0,0.0,1195.46,1109.42,86.04,4/8/2022
2022-04-08 12:00:00,12,1560.0,1560.0,0.0,1196.68,1109.44,87.24,4/8/2022
2022-04-08 13:00:00,13,1560.0,1560.0,0.0,1197.83,1109.42,88.41,4/8/2022
2022-04-08 14:00:00,14,1570.0,1570.0,0.0,1198.97,1109.48,89.49,4/8/2022
2022-04-08 15:00:00,15,1580.0,1580.0,0.0,1200.07,1109.46,90.61,4/8/2022
2022-04-08 16:00:00,16,1590.0,1590.0,0.0,1201.13,1109.44,91.69,4/8/2022
2022-04-08 17:00:00,17,1590.0,1590.0,0.0,1202.12,1109.51,92.61,4/8/2022
2022-04-08 18:00:00,18,1600.0,1600.0,0.0,1201.46,1109.48,91.98,4/8/2022
2022-04-08 19:00:00,19,1580.0,1580.0,0.0,1200.75,1109.46,91.29,4/8/2022
2022-04-08 20:00:00,20,1570.0,1570.0,0.0,1200.07,1109.45,90.62,4/8/2022
2022-04-08 21:00:00,21,1580.0,1580.0,0.0,1199.39,1109.43,89.96,4/8/2022
2022-04-08 22:00:00,22,1570.0,1570.0,0.0,1198.7,1109.43,89.27,4/8/2022
2022-04-08 23:00:00,23,1570.0,1570.0,0.0,1198.03,1109.42,88.61,4/8/2022
2022-04-08 23:59:59,24,1560.0,1560.0,0.0,1197.35,1109.47,87.88,4/8/2022
2022-04-09 01:00:00,1,1560.0,1560.0,0.0,1196.66,1109.41,87.25,4/9/2022
2022-04-09 02:00:00,2,1570.0,1570.0,0.0,1195.97,1109.42,86.55,4/9/2022
2022-04-09 03:00:00,3,1560.0,1560.0,0.0,1195.31,1109.43,85.88,4/9/2022
2022-04-09 04:00:00,4,1560.0,1560.0,0.0,1194.65,1109.44,85.21,4/9/2022
2022-04-09 05:00:00,5,1560.0,1560.0,0.0,1194.0,1109.44,84.56,4/9/2022
2022-04-09 06:00:00,6,1550.0,1550.0,0.0,1193.35,1109.4,83.95,4/9/2022
2022-04-09 07:00:00,7,1520.0,1520.0,0.0,1192.76,1109.38,83.38,4/9/2022
2022-04-09 08:00:00,8,1520.0,1520.0,0.0,1194.07,1109.42,84.65,4/9/2022
2022-04-09 09:00:00,9,1530.0,1530.0,0.0,1195.48,1109.38,86.1,4/9/2022
2022-04-09 10:00:00,10,1560.0,1560.0,0.0,1196.85,1109.46,87.39,4/9/2022
2022-04-09 11:00:00,11,1570.0,1570.0,0.0,1198.13,1109.44,88.69,4/9/2022
2022-04-09 12:00:00,12,1560.0,1560.0,0.0,1199.46,1109.42,90.04,4/9/2022
2022-04-09 13:00:00,13,1580.0,1580.0,0.0,1200.7,1109.46,91.24,4/9/2022
2022-04-09 14:00:00,14,1590.0,1590.0,0.0,1201.88,1109.49,92.39,4/9/2022
2022-04-09 15:00:00,15,1600.0,1600.0,0.0,1203.0,1109.51,93.49,4/9/2022
2022-04-09 16:00:00,16,1580.0,1580.0,0.0,1202.48,1109.45,93.03,4/9/2022
2022-04-09 17:00:00,17,1590.0,1590.0,0.0,1201.91,1109.46,92.45,4/9/2022
2022-04-09 18:00:00,18,1600.0,1600.0,0.0,1201.35,1109.51,91.84,4/9/2022
2022-04-09 19:00:00,19,1590.0,1590.0,0.0,1200.81,1109.45,91.36,4/9/2022
2022-04-09 20:00:00,20,1580.0,1580.0,0.0,1200.27,1109.48,90.79,4/9/2022
2022-04-09 21:00:00,21,1570.0,1570.0,0.0,1199.75,1109.43,90.32,4/9/2022
2022-04-09 22:00:00,22,1560.0,1560.0,0.0,1199.24,1109.41,89.83,4/9/2022
2022-04-09 23:00:00,23,1570.0,1570.0,0.0,1198.73,1109.47,89.26,4/9/2022
2022-04-09 23:59:59,24,1560.0,1560.0,0.0,1198.25,1109.48,88.77,4/9/2022
2022-04-10 01:00:00,1,1570.0,1570.0,0.0,1197.76,1109.44,88.32,4/10/2022
2022-04-10 02:00:00,2,1570.0,1570.0,0.0,1197.31,1109.43,87.88,4/10/2022
2022-04-10 03:00:00,3,1560.0,1560.0,0.0,1196.78,1109.46,87.32,4/10/2022
2022-04-10 04:00:00,4,1560.0,1560.0,0.0,1196.33,1109.46,86.87,4/10/2022
2022-04-10 05:00:00,5,1550.0,1550.0,0.0,1195.93,1109.37,86.56,4/10/2022
2022-04-10 06:00:00,6,1560.0,1560.0,0.0,1195.49,1109.41,86.08,4/10/2022
2022-04-10 07:00:00,7,1530.0,1530.0,0.0,1195.09,1109.4,85.69,4/10/2022
2022-04-10 08:00:00,8,1530.0,1530.0,0.0,1196.52,1109.42,87.1,4/10/2022
2022-04-10 09:00:00,9,1550.0,1550.0,0.0,1198.04,1109.41,88.63,4/10/2022
2022-04-10 10:00:00,10,1570.0,1570.0,0.0,1199.46,1109.41,90.05,4/10/2022
2022-04-10 11:00:00,11,1570.0,1570.0,0.0,1200.91,1109.47,91.44,4/10/2022
2022-04-10 12:00:00,12,1580.0,1580.0,0.0,1202.2,1109.53,92.67,4/10/2022
2022-04-10 13:00:00,13,1580.0,1580.0,0.0,1201.86,1109.47,92.39,4/10/2022
2022-04-10 14:00:00,14,1580.0,1580.0,0.0,1201.48,1109.45,92.03,4/10/2022
2022-04-10 15:00:00,15,1580.0,1580.0,0.0,1201.08,1109.51,91.57,4/10/2022
