STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130101 00:00,999.99,], 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130101 01:00,999.99,[, 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130201 00:00,999.99,], 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130201 01:00,999.99,[, 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130301 00:00,999.99,], 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130301 01:00,999.99,[, 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130401 00:00,999.99,], 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130401 01:00,999.99,[, 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130501 00:00,999.99,], 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130501 01:00,999.99,[, 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130601 00:00,999.99,], 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130601 01:00,999.99,[, 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130701 00:00,999.99,], 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130701 01:00,999.99,[, 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130801 00:00,999.99,], 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130801 01:00,999.99,[, 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130901 00:00,999.99,], 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20130901 01:00,999.99,[, 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20131001 00:00,999.99,], 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20131001 01:00,999.99,[, 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20131101 00:00,999.99,], 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20131101 01:00,999.99,[, 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20131201 00:00,999.99,], 
COOP:119193,WEST SALEM IL US,135.6,38.525,-88.013,20131201 01:00,999.99,[, 
COOP:357500,SALEM AIRPORT MCNARY FIELD OR US,62.5,44.905,-123.0011,20130101 01:00,0,g, 
COOP:357500,SALEM AIRPORT MCNARY FIELD OR US,62.5,44.905,-123.0011,20130105 09:00,0,T, 
COOP:357500,SALEM AIRPORT MCNARY FIELD OR US,62.5,44.905,-123.0011,20130105 10:00,0.01, , 
COOP:357500,SALEM AIRPORT MCNARY FIELD OR US,62.5,44.905,-123.0011,20130105 16:00,0,T, 
COOP:357500,SALEM AIRPORT MCNARY FIELD OR US,62.5,44.905,-123.0011,20130105 17:00,0,T, 
COOP:357500,SALEM AIRPORT MCNARY FIELD OR US,62.5,44.905,-123.0011,20130105 18:00,0,T, 
COOP:357500,SALEM AIRPORT MCNARY FIELD OR US,62.5,44.905,-123.0011,20130105 21:00,0,T, 
COOP:357500,SALEM AIRPORT MCNARY FIELD OR US,62.5,44.905,-123.0011,20130105 22:00,0,T, 
COOP:357500,SALEM AIRPORT MCNARY FIELD OR US,62.5,44.905,-123.0011,20130105 23:00,0,T, 
COOP:357500,SALEM AIRPORT MCNARY FIELD OR US,62.5,44.905,-123.0011,20130106 02:00,0,T, 
