"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AJ1","AL1","AN1","AT1","AT2","AT3","AT4","AT5","AT6","AU1","AU2","AU3","AW1","AW2","AW3","AW4","AX1","AX2","AX3","GA1","GA2","GA3","GD1","GD2","GD3","GE1","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MV1","MW1","MW2","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","WA1","REM","EQD"
"72694024232","2025-01-01T00:00:00","4","44.90488","-123.00103","63.4","SALEM AIRPORT MCNARY FIELD, OR US","FM-12","99999","V020","140,1,N,0036,1","99999,9,9,N","009000,1,9,9","+0044,1","+0017,1","10205,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,9,+00250,1,99,9",,,,,,"9,AGL   ,+99999,+99999","08,99,1,99,9,99,9,00250,1,99,9,99,9","120,M,+0050,1","120,N,-0010,1",,,,,,,,,,,"99999,9,10132,1","6,1,014,1,+999,9",,,,,,,,,,,,,,,,,"SYN08072694 32359 81407 10044 20017 30132 40205 56014 92356 333 10050 21010 555 90100=",
"72694024232","2025-01-01T00:37:00","4","44.90488","-123.00103","63.4","SALEM AIRPORT MCNARY FIELD, OR US","FM-16","99999","V020","150,1,N,0036,1","00213,1,9,N","009656,1,9,9","+0044,1","+0017,1","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05,1",,,,,,,,,,"3,99,1,+00213,1,9","3,99,1,+02286,1,9","4,99,1,+02743,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00213,1,99,9,99,9",,,,,,,,,,,,,"10196,1,99999,9",,,,,,,,,,,,,,,,,,"MET085SPECI KSLE 010037Z 15007KT 6SM HZ BKN007 BKN075 OVC090 04/02 A3011 RMK AO2 T00440017=",
"72694024232","2025-01-01T00:56:00","4","44.90488","-123.00103","63.4","SALEM AIRPORT MCNARY FIELD, OR US","FM-15","99999","V020","170,1,N,0046,1","00213,1,9,N","009656,1,9,9","+0044,1","+0017,1","10196,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05,1",,,,,,,,,,"3,99,1,+00213,1,9","3,99,1,+02286,1,9","4,99,1,+02743,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00213,1,99,9,99,9",,,,,,,,,,,,,"10193,1,99999,9",,,,,,,,,,,,,,,,,,"MET092METAR KSLE 010056Z 17009KT 6SM HZ BKN007 BKN075 OVC090 04/02 A3010 RMK AO2 SLP196 T00440017=",
"72694024232","2025-01-01T01:56:00","4","44.90488","-123.00103","63.4","SALEM AIRPORT MCNARY FIELD, OR US","FM-15","99999","V020","190,1,N,0015,1","02134,1,9,N","016093,1,9,9","+0050,1","+0017,1","10192,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,99,1,+02134,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,02134,1,99,9,99,9",,,,,,,,,,,,,"10190,1,99999,9",,,,,,,,,,,,,,,,,,"MET076METAR KSLE 010156Z 19003KT 10SM OVC070 05/02 A3009 RMK AO2 SLP192 T00500017=",
"72694024232","2025-01-01T02:56:00","4","44.90488","-123.00103","63.4","SALEM AIRPORT MCNARY FIELD, OR US","FM-15","99999","V020","130,1,N,0021,1","01372,1,9,N","016093,1,9,9","+0044,1","+0022,1","10184,1","01,0000,2,1","03,0000,2,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,1",,,,,,,,,,"4,99,1,+01372,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01372,1,99,9,99,9",,,,,,,,,,,,,"10183,1,99999,9","6,1,021,1,+999,9",,,,,,,,,,,,,,,,,"MET104METAR KSLE 010256Z 13004KT 10SM -RA OVC045 04/02 A3007 RMK AO2 RAB04 SLP184 P0000 60000 T00440022 56021=","Q01  00008PRCP03"
"72694024232","2025-01-01T03:00:00","4","44.90488","-123.00103","63.4","SALEM AIRPORT MCNARY FIELD, OR US","FM-12","99999","V020","130,1,N,0021,1","99999,9,9,N","016000,1,9,9","+0044,1","+0022,1","10184,1","03,0000,2,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,9,+01250,1,99,9",,,,,,"9,AGL   ,+99999,+99999","08,99,1,99,9,99,9,01250,1,99,9,99,9",,,,,,,,,,,,,"99999,9,10111,1","6,1,021,1,+999,9",,,,,,"61,1",,,,,,,,,,,"SYN07672694 11666 81304 10044 20022 30111 40184 56021 69907 761// 90256 555 90103=",
"72694024232","2025-01-01T03:56:00","4","44.90488","-123.00103","63.4","SALEM AIRPORT MCNARY FIELD, OR US","FM-15","99999","V020","150,1,N,0015,1","00853,1,9,N","014484,1,9,9","+0056,1","+0022,1","10178,1","01,0002,3,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,1",,,,,,,,,,"3,99,1,+00853,1,9","3,99,1,+01097,1,9","4,99,1,+01433,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00853,1,99,9,99,9",,,,,,,,,,,,,"10176,1,99999,9",,,,,,,,,,,,,,,,,,"MET099METAR KSLE 010356Z 15003KT 9SM -RA BKN028 BKN036 OVC047 06/02 A3005 RMK AO2 SLP178 P0001 T00560022=",
"72694024232","2025-01-01T04:47:00","4","44.90488","-123.00103","63.4","SALEM AIRPORT MCNARY FIELD, OR US","FM-16","99999","V020","180,1,N,0021,1","01067,1,9,N","016093,1,9,9","+0061,1","+0022,1","99999,9","01,0005,3,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,1",,,,,,,,,,"2,99,1,+00914,1,9","4,99,1,+01067,1,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00914,1,99,9,99,9",,,,,,,,,,,,,"10176,1,99999,9",,,,,,,,,,,,,,,,,,"MET095SPECI KSLE 010447Z 18004KT 10SM -RA SCT030 OVC035 06/02 A3005 RMK AO2 RAE08B26 P0002 T00610022=",
"72694024232","2025-01-01T04:56:00","4","44.90488","-123.00103","63.4","SALEM AIRPORT MCNARY FIELD, OR US","FM-15","99999","V020","170,1,N,0026,1","01006,1,9,N","016093,1,9,9","+0061,1","+0022,1","10178,1","01,0005,3,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,1",,,,,,,,,,"4,99,1,+01006,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01006,1,99,9,99,9",,,,,,,,,,,,,"10176,1,99999,9",,,,,,,,,,,,,,,,,,"MET100METAR KSLE 010456Z AUTO 17005KT 10SM -RA OVC033 06/02 A3005 RMK AO2 RAE08B26 SLP178 P0002 T00610022=",
"72694024232","2025-01-01T05:56:00","4","44.90488","-123.00103","63.4","SALEM AIRPORT MCNARY FIELD, OR US","FM-15","99999","V020","160,1,N,0031,1","00975,1,9,N","016093,1,9,9","+0061,1","+0028,1","10170,1","01,0000,2,1","06,0008,9,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,99,1,+00975,1,9","4,99,1,+01189,1,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00975,1,99,9,99,9","060,M,+0067,1","060,N,+0044,1",,,,,,,,,,,"10169,1,99999,9","8,1,006,1,+999,9",,,,,,,,,,,,,,,,,"MET124METAR KSLE 010556Z AUTO 16006KT 10SM BKN032 OVC039 06/03 A3003 RMK AO2 RAE54 SLP170 P0000 60003 T00610028 10067 20044 58006=","Q01  00078PRCP06"
