CHEESMAN,Max T,Min T,Precipitation,Snowfall
11/24/1902,50,18,T,0
11/25/1902,35,25,0,0
11/26/1902,50,5,0,0
11/27/1902,50,20,0,0
11/28/1902,30,17,0,0
11/29/1902,34,2,0,0
11/30/1902,47,1,0,0
12/1/1902,59,23,0,0
12/2/1902,29,14,0,0
12/3/1902,27,6,0.16,2.8
12/4/1902,53,5,0,0
12/5/1902,53,22,0,0
12/6/1902,50,28,0,0
12/7/1902,58,17,0,0
12/8/1902,62,26,0,0
12/9/1902,63,28,0,0
12/10/1902,57,23,0,0
12/11/1902,52,22,0,0
12/12/1902,50,20,0,0
12/13/1902,37,22,0.16,2
12/14/1902,24,13,0.16,2
12/15/1902,30,-10,0,0
12/16/1902,37,-10,0,0
12/17/1902,46,1,0,0
12/18/1902,47,9,0,0
12/19/1902,36,15,0,0
12/20/1902,50,28,0,0
12/21/1902,43,10,0,0
12/22/1902,45,4,0,0
12/23/1902,56,23,0,0
12/24/1902,53,27,0,0
12/25/1902,61,26,0,0
12/26/1902,57,23,0,0
12/27/1902,58,30,0,0
12/28/1902,38,16,0.15,2.8
12/29/1902,33,-6,0,0
12/30/1902,38,-7,0,0
12/31/1902,43,-5,0,0
1/1/1903,42,-4,0,0
1/2/1903,48,7,0,0
1/3/1903,47,9,0,0
1/4/1903,43,26,0,0
1/5/1903,51,11,0,0
1/6/1903,60,19,0,0
1/7/1903,49,24,0,0
1/8/1903,54,15,0,0
1/9/1903,43,14,0,0
1/10/1903,30,15,T,T
1/11/1903,32,1,0,0
1/12/1903,51,3,0,0
1/13/1903,37,6,0,0
1/14/1903,43,-1,0,0
1/15/1903,50,3,0,0
1/16/1903,44,3,0,0
1/17/1903,47,4,0,0
1/18/1903,41,4,0,0
1/19/1903,46,2,0,0
1/20/1903,36,12,T,0.3
1/21/1903,46,6,0,0
1/22/1903,48,16,0,0
1/23/1903,52,10,0,0
1/24/1903,57,25,0,0
1/25/1903,58,28,0,0
1/26/1903,48,23,0,0
1/27/1903,55,36,0,0
1/28/1903,51,37,0,0
1/29/1903,45,6,0.14,3.1
1/30/1903,44,2,0,0
1/31/1903,46,24,0,0
2/1/1903,38,20,0,0
2/2/1903,36,12,0.1,1.5
2/3/1903,27,M,0.27,4.5
2/4/1903,32,-23,0,0
2/5/1903,29,-10,0,0
2/6/1903,22,-10,0,0
2/7/1903,38,-14,0,0
2/8/1903,43,2,0,0
2/9/1903,47,8,0,0
2/10/1903,48,10,0,0
2/11/1903,M,20,0,0
2/12/1903,20,2,0.42,6
2/13/1903,12,-5,0.11,1
2/14/1903,15,-11,0.06,1
2/15/1903,M,-19,0,0
2/16/1903,24,-26,0,0
2/17/1903,43,8,0,0
2/18/1903,54,-1,0,0
2/19/1903,51,1,0,0
2/20/1903,47,10,0,0
2/21/1903,49,9,0,0
2/22/1903,55,7,0,0
2/23/1903,40,8,0,0
2/24/1903,32,20,0,0
2/25/1903,30,6,0.06,0.8
2/26/1903,30,7,0.06,0.8
2/27/1903,36,9,T,T
2/28/1903,24,6,0.07,1.5
3/1/1903,46,-15,0,0
3/2/1903,52,10,0,0
3/3/1903,M,17,0,0
3/4/1903,50,12,0,0
3/5/1903,51,18,0,0
3/6/1903,44,31,0,0
3/7/1903,47,12,0,0
3/8/1903,49,20,0,0
3/9/1903,49,25,0,0
3/10/1903,53,17,0,0
3/11/1903,64,20,0,0
3/12/1903,62,24,0,0
3/13/1903,63,20,0,0
3/14/1903,63,23,0,0
3/15/1903,59,25,0,0
3/16/1903,59,28,0,0
3/17/1903,57,23,0,0
3/18/1903,48,18,0.36,3.5
3/19/1903,23,2,0,0
3/20/1903,40,0,0,0
3/21/1903,49,23,0,0
3/22/1903,37,13,0.04,0.5
3/23/1903,41,5,0.03,0.5
3/24/1903,58,5,0,0
3/25/1903,58,23,0,0
3/26/1903,51,27,0,0
3/27/1903,59,23,0,0
3/28/1903,63,25,0,0
3/29/1903,63,34,0,0
3/30/1903,51,31,0.03,0
3/31/1903,62,30,0,0
4/1/1903,61,39,0,0
4/2/1903,53,28,0.37,5.3
4/3/1903,48,11,0,0
4/4/1903,51,23,0,0
4/5/1903,56,39,0,0
4/6/1903,51,24,0,0
4/7/1903,57,27,0,0
4/8/1903,67,29,0,0
4/9/1903,64,28,T,0
4/10/1903,65,31,0,0
4/11/1903,60,36,0,0
4/12/1903,51,23,0.27,0
4/13/1903,45,3,0,0
4/14/1903,59,21,0,0
4/15/1903,59,28,0,0
4/16/1903,61,28,0,0
4/17/1903,60,26,0,0
4/18/1903,50,30,0,0
4/19/1903,54,26,0,0
4/20/1903,64,27,0,0
4/21/1903,58,35,T,0
4/22/1903,66,28,T,3
4/23/1903,72,32,0,0
4/24/1903,64,34,0,0
4/25/1903,65,34,0,0
4/26/1903,69,39,0,0
4/27/1903,67,37,0,0
4/28/1903,58,34,0,0
4/29/1903,55,19,0.28,T
4/30/1903,65,15,0,0
5/1/1903,68,32,0,0
5/2/1903,53,28,0.07,0
5/3/1903,60,28,0,0
5/4/1903,67,28,0,0
5/5/1903,69,29,0,0
5/6/1903,52,36,0.11,0
5/7/1903,71,29,0,0
5/8/1903,70,38,0,0
5/9/1903,73,35,0,0
5/10/1903,61,39,0.12,0
5/11/1903,58,34,T,0
5/12/1903,62,35,0.05,0
5/13/1903,75,29,0,0
5/14/1903,80,35,0,0
5/15/1903,73,39,0.1,0
5/16/1903,72,40,0,0
5/17/1903,68,54,0,0
5/18/1903,60,38,0.08,0
5/19/1903,63,38,0,0
5/20/1903,71,33,0,0
5/21/1903,67,38,0,0
5/22/1903,56,33,0,0
5/23/1903,63,31,0,0
5/24/1903,62,35,0,0
5/25/1903,68,36,0,0
5/26/1903,56,39,0.16,0
5/27/1903,66,32,0,0
5/28/1903,64,40,T,0
5/29/1903,63,38,0.08,0
5/30/1903,67,35,0,0
5/31/1903,68,32,0,0
6/1/1903,55,32,0.89,T
6/2/1903,63,34,0,0
6/3/1903,69,39,0,0
6/4/1903,65,42,0.04,0
6/5/1903,62,47,0,0
6/6/1903,64,41,0,0
6/7/1903,65,46,0.26,0
6/8/1903,68,44,0.6,0
6/9/1903,55,42,0.27,0
6/10/1903,52,38,0.42,0
6/11/1903,70,35,0,0
6/12/1903,69,45,0.07,0
6/13/1903,65,47,0,0
6/14/1903,61,43,0.12,0
6/15/1903,62,42,0.19,0
6/16/1903,71,41,0.15,0
6/17/1903,78,44,0,0
6/18/1903,81,44,0,0
6/19/1903,80,49,0,0
6/20/1903,71,46,0.1,0
6/21/1903,74,44,T,0
6/22/1903,88,46,0,0
6/23/1903,80,45,0,0
6/24/1903,67,49,0,0
6/25/1903,75,43,0,0
6/26/1903,85,43,0,0
6/27/1903,88,52,0,0
6/28/1903,92,51,0,0
6/29/1903,92,56,0,0
6/30/1903,88,52,0,0
7/1/1903,90,48,0,0
7/2/1903,81,54,0,0
7/3/1903,64,37,0.56,0
7/4/1903,72,36,0,0
7/5/1903,73,41,0,0
7/6/1903,93,56,0,0
7/7/1903,82,63,0,0
7/8/1903,88,48,0,0
7/9/1903,88,60,0.11,0
7/10/1903,85,50,0,0
7/11/1903,82,50,T,0
7/12/1903,88,50,0,0
7/13/1903,87,57,0,0
7/14/1903,86,58,0,0
7/15/1903,91,53,0.13,0
7/16/1903,84,56,0,0
7/17/1903,74,54,0.42,0
7/18/1903,76,48,0.05,0
7/19/1903,85,48,0,0
7/20/1903,86,52,0,0
7/21/1903,87,52,0,0
7/22/1903,89,54,0,0
7/23/1903,88,54,0.12,0
7/24/1903,93,54,0,0
7/25/1903,92,54,0,0
7/26/1903,88,56,0,0
7/27/1903,83,51,T,0
7/28/1903,91,48,0,0
7/29/1903,89,47,0,0
7/30/1903,79,49,0,0
7/31/1903,85,51,0,0
8/1/1903,84,44,0,0
8/2/1903,87,50,0,0
8/3/1903,90,54,0,0
8/4/1903,93,51,0,0
8/5/1903,90,49,0,0
8/6/1903,86,54,1.12,0
8/7/1903,87,55,0,0
8/8/1903,77,49,0.03,0
8/9/1903,71,48,0.14,0
8/10/1903,82,48,T,0
8/11/1903,80,49,0,0
8/12/1903,82,49,0,0
8/13/1903,83,45,0,0
8/14/1903,89,49,0,0
8/15/1903,84,49,0.43,0
8/16/1903,78,54,0.42,0
8/17/1903,85,49,0,0
8/18/1903,80,49,0,0
8/19/1903,84,51,0,0
8/20/1903,86,54,0.12,0
8/21/1903,87,52,T,0
8/22/1903,90,52,0.62,0
8/23/1903,80,56,0.11,0
8/24/1903,81,51,0,0
8/25/1903,73,51,0.05,0
8/26/1903,82,47,T,0
8/27/1903,79,47,0,0
8/28/1903,79,43,0,0
8/29/1903,78,47,0,0
8/30/1903,82,44,0,0
8/31/1903,87,46,0,0
9/1/1903,88,47,0,0
9/2/1903,84,51,0,0
9/3/1903,85,49,0,0
9/4/1903,81,47,0,0
9/5/1903,86,50,0,0
9/6/1903,79,50,0.11,0
9/7/1903,67,48,0.12,0
9/8/1903,78,39,0,0
9/9/1903,67,41,0,0
9/10/1903,81,41,0,0
9/11/1903,79,38,0,0
9/12/1903,70,42,0.1,0
9/13/1903,65,44,0,0
9/14/1903,46,35,0.08,T
9/15/1903,41,31,0.09,T
9/16/1903,57,27,0.01,0
9/17/1903,63,29,0,0
9/18/1903,73,30,0,0
9/19/1903,78,34,0,0
9/20/1903,76,34,0,0
9/21/1903,82,34,0,0
9/22/1903,89,46,0,0
9/23/1903,74,38,0,0
9/24/1903,76,42,0,0
9/25/1903,78,40,0,0
9/26/1903,66,38,0,0
9/27/1903,78,32,0,0
9/28/1903,76,46,0,0
9/29/1903,68,45,0,0
9/30/1903,68,36,0,0
10/1/1903,71,39,0,0
10/2/1903,72,45,0,0
10/3/1903,63,38,0,0
10/4/1903,68,28,0,0
10/5/1903,70,32,0,0
10/6/1903,70,42,0,0
10/7/1903,70,34,0,0
10/8/1903,82,27,0,0
10/9/1903,79,31,0,0
10/10/1903,80,40,0,0
10/11/1903,72,45,0,0
10/12/1903,56,40,0,0
10/13/1903,51,37,0.3,0
10/14/1903,66,28,0,0
10/15/1903,55,29,0.79,0
10/16/1903,65,26,0,0
10/17/1903,70,28,0,0
10/18/1903,73,29,0,0
10/19/1903,75,29,0,0
10/20/1903,74,28,0,0
10/21/1903,74,30,0,0
10/22/1903,68,29,0,0
10/23/1903,68,28,0,0
10/24/1903,73,29,0,0
10/25/1903,68,28,0,0
10/26/1903,71,29,0,0
10/27/1903,62,28,0,0
10/28/1903,63,25,0,0
10/29/1903,54,31,0,0
10/30/1903,51,29,1.26,8
10/31/1903,50,10,0,0
11/1/1903,52,14,0,0
11/2/1903,52,18,0,0
11/3/1903,52,21,0,0
11/4/1903,54,23,0,0
11/5/1903,58,22,0,0
11/6/1903,68,26,0,0
11/7/1903,68,27,0,0
11/8/1903,64,34,0,0
11/9/1903,60,24,0,0
11/10/1903,59,24,0,0
11/11/1903,53,15,0,0
11/12/1903,56,M,0,0
11/13/1903,61,31,0,0
11/14/1903,68,33,0,0
11/15/1903,63,37,0,0
11/16/1903,39,20,0.17,3
11/17/1903,M,3,0,0
11/18/1903,40,0,0,0
11/19/1903,53,19,0,0
