GRAND LAKE 6 SSW,Max T,Min T,Precipitation,Snowfall
8/1/1948,78,37,0.05,0
8/2/1948,74,35,0.06,0
8/3/1948,72,33,0,0
8/4/1948,71,40,0.18,0
8/5/1948,62,46,0.21,0
8/6/1948,69,47,0.04,0
8/7/1948,73,35,0,0
8/8/1948,70,36,0,0
8/9/1948,67,36,0.01,0
8/10/1948,71,35,0.02,0
8/11/1948,71,33,0.02,0
8/12/1948,75,32,0,0
8/13/1948,70,37,T,0
8/14/1948,75,32,0,0
8/15/1948,75,32,0,0
8/16/1948,78,39,T,0
8/17/1948,78,36,0,0
8/18/1948,75,37,0.01,0
8/19/1948,75,38,0,0
8/20/1948,79,37,0,0
8/21/1948,79,32,0,0
8/22/1948,75,43,0,0
8/23/1948,68,40,0.46,0
8/24/1948,72,40,0.03,0
8/25/1948,64,42,M,0
8/26/1948,62,39,0.39,0
8/27/1948,73,31,0,0
8/28/1948,78,33,0,0
8/29/1948,82,35,0.11,0
8/30/1948,81,33,0,0
8/31/1948,80,34,0,0
9/1/1948,77,40,0,0
9/2/1948,78,35,0.09,0
9/3/1948,80,33,0,0
9/4/1948,80,30,0,0
9/5/1948,77,32,0,0
9/6/1948,70,30,0,0
9/7/1948,64,31,0.01,0
9/8/1948,67,24,0,0
9/9/1948,67,26,0,0
9/10/1948,72,24,0,0
9/11/1948,73,24,0,0
9/12/1948,74,25,0,0
9/13/1948,76,34,0,0
9/14/1948,79,27,0,0
9/15/1948,77,28,0,0
9/16/1948,72,35,0,0
9/17/1948,69,40,0,0
9/18/1948,74,32,0,0
9/19/1948,70,33,0,0
9/20/1948,67,33,0.2,0
9/21/1948,71,25,0,0
9/22/1948,70,26,0,0
9/23/1948,71,23,0,0
9/24/1948,74,24,0,0
9/25/1948,75,28,0,0
9/26/1948,70,39,0,0
9/27/1948,67,35,0.27,0
9/28/1948,63,35,0.16,0
9/29/1948,63,31,0,0
9/30/1948,54,39,0.22,0
10/1/1948,56,36,0,0
10/2/1948,61,25,T,0
10/3/1948,67,25,0,0
10/4/1948,64,28,0,0
10/5/1948,60,32,0.2,0
10/6/1948,33,18,0.15,1
10/7/1948,40,15,0,0
10/8/1948,61,16,0,0
10/9/1948,63,21,0,0
10/10/1948,60,23,0,0
10/11/1948,57,23,0,0
