,Hour,Total Outflow kcfs,Generation Flow kcfs,Spill kcfs,Forebay Elevation,Tailwater Elevation,Average Head,Hope Gage Elevation,Date,0
0,1,28.7,20.6,8.1,2048.5,2036.9,11.6,,2022-04-07,
1,2,28.7,20.6,8.1,2048.5,2037.0,11.5,,2022-04-07,
2,3,28.9,20.8,8.1,2048.4,2036.9,11.5,,2022-04-07,
3,4,29.0,20.9,8.1,2048.4,2037.0,11.4,,2022-04-07,
4,5,29.2,21.1,8.1,2048.4,2037.0,11.4,,2022-04-07,
5,6,29.2,21.1,8.1,2048.4,2037.0,11.4,,2022-04-07,
6,7,29.0,20.9,8.1,2048.4,2036.9,11.5,,2022-04-07,
7,8,28.7,20.6,8.1,2048.5,2036.9,11.6,2052.3,2022-04-07,
8,9,28.8,20.7,8.1,2048.5,2036.9,11.6,,2022-04-07,
9,10,28.9,20.8,8.1,2048.6,2037.0,11.6,,2022-04-07,
10,11,28.9,20.8,8.1,2048.6,2037.0,11.6,,2022-04-07,
11,12,29.1,20.9,8.1,2048.6,2037.0,11.6,,2022-04-07,
12,13,29.0,20.8,8.2,2048.6,2037.0,11.6,,2022-04-07,
13,14,29.1,20.9,8.2,2048.6,2036.9,11.7,,2022-04-07,
14,15,29.2,21.0,8.2,2048.6,2037.0,11.6,,2022-04-07,
15,16,29.2,21.0,8.2,2048.6,2037.0,11.6,2052.34,2022-04-07,
16,17,29.2,21.0,8.2,2048.6,2037.0,11.6,,2022-04-07,
17,18,29.3,21.1,8.2,2048.6,2037.0,11.6,,2022-04-07,
18,19,29.2,21.0,8.2,2048.6,2037.0,11.6,,2022-04-07,
19,20,29.0,20.8,8.2,2048.6,2037.0,11.6,,2022-04-07,
20,21,29.0,20.8,8.2,2048.6,2037.0,11.6,,2022-04-07,
21,22,29.1,20.9,8.2,2048.6,2037.0,11.6,,2022-04-07,
22,23,29.1,20.9,8.2,2048.5,2037.0,11.5,,2022-04-07,
23,24,29.0,20.9,8.1,2048.5,2037.0,11.5,2052.32,2022-04-07,
24,,,,,,,,,2022-04-07,
25,AVG,29.02,20.87,8.15,2048.53,2036.98,11.56,2052.32,2022-04-07,
26,,,,,,,,,2022-04-07,
27,MAX,29.3,21.1,8.2,2048.6,2037.0,11.7,2052.34,2022-04-07,
28,MIN,28.7,20.6,8.1,2048.4,2036.9,11.4,2052.3,2022-04-07,
29,1,29.3,21.2,8.1,2048.5,2037.0,11.5,,2022-04-08,
30,2,29.3,21.2,8.1,2048.5,2037.0,11.5,,2022-04-08,
31,3,29.2,21.1,8.1,2048.5,2037.0,11.5,,2022-04-08,
32,4,29.3,21.2,8.1,2048.5,2037.0,11.5,,2022-04-08,
33,5,29.2,21.1,8.1,2048.5,2037.0,11.5,,2022-04-08,
34,6,29.4,21.2,8.2,2048.5,2037.0,11.5,,2022-04-08,
35,7,29.3,21.2,8.1,2048.5,2037.0,11.5,,2022-04-08,
36,8,29.1,21.0,8.1,2048.5,2037.0,11.5,2052.32,2022-04-08,
37,9,29.2,21.1,8.1,2048.5,2037.0,11.5,,2022-04-08,
38,10,29.2,21.1,8.1,2048.6,2037.0,11.6,,2022-04-08,
39,11,26.5,18.3,8.2,2049.0,2036.7,12.3,,2022-04-08,
40,12,26.3,17.9,8.4,2049.4,2036.5,12.9,,2022-04-08,
41,13,26.1,17.6,8.5,2049.6,2036.5,13.1,,2022-04-08,
42,14,26.2,17.7,8.5,2049.7,2036.4,13.3,,2022-04-08,
