,Hour,Total Outflow kcfs,Generation Flow kcfs,Spill kcfs,PH 1 Forebay Elevation,Tailwater Elevation,Average Head,Project Forebay Elevation,Stevenson Gage Elevation,Project Tailwater Elevation,Date
0,1,154.6,142.2,0.0,74.7,14.0,60.7,74.7,75.5,14.0,2022-04-07
1,2,155.4,143.0,0.0,74.8,14.0,60.8,74.7,75.4,14.1,2022-04-07
2,3,155.4,143.0,0.0,74.9,13.9,61.0,74.8,75.5,13.9,2022-04-07
3,4,155.5,143.1,0.0,74.9,13.9,61.0,74.8,75.5,13.8,2022-04-07
4,5,156.9,144.5,0.0,74.9,14.0,60.9,74.8,75.6,13.9,2022-04-07
5,6,173.9,161.3,0.2,74.4,15.1,59.3,74.3,75.4,15.1,2022-04-07
6,7,185.9,171.1,2.4,74.1,15.4,58.7,74.6,75.5,15.1,2022-04-07
7,8,185.5,170.7,2.4,74.7,15.4,59.3,74.8,75.6,15.1,2022-04-07
8,9,188.0,173.2,2.4,74.8,15.5,59.3,74.9,75.7,15.2,2022-04-07
9,10,189.5,174.7,2.4,74.8,15.6,59.2,74.9,75.8,15.3,2022-04-07
10,11,188.9,174.1,2.4,74.9,15.7,59.2,74.9,75.8,15.4,2022-04-07
11,12,182.5,167.4,2.7,75.0,15.3,59.7,75.0,75.9,15.1,2022-04-07
12,13,180.7,165.9,2.4,75.0,15.3,59.7,74.9,75.8,15.1,2022-04-07
13,14,182.2,167.4,2.4,74.9,15.3,59.6,74.9,75.7,15.3,2022-04-07
14,15,181.6,166.8,2.4,74.9,15.3,59.6,74.9,75.7,15.1,2022-04-07
15,16,183.1,168.2,2.5,74.8,15.5,59.3,74.8,75.7,15.4,2022-04-07
16,17,181.7,166.8,2.5,74.9,15.3,59.6,74.8,75.7,15.2,2022-04-07
17,18,184.3,169.4,2.5,74.6,15.6,59.0,74.6,75.6,15.4,2022-04-07
18,19,188.8,173.9,2.5,74.6,15.8,58.8,74.6,75.6,15.5,2022-04-07
19,20,187.4,172.6,2.4,74.7,15.7,59.0,74.8,75.7,15.5,2022-04-07
20,21,185.4,170.7,2.3,74.7,15.7,59.0,74.8,75.7,15.5,2022-04-07
21,22,187.5,173.9,1.2,74.9,15.6,59.3,74.9,75.7,15.4,2022-04-07
22,23,176.0,163.6,0.0,75.1,15.1,60.0,75.1,75.9,14.9,2022-04-07
23,24,170.5,158.1,0.0,75.0,14.8,60.2,75.0,75.9,14.7,2022-04-07
24,,,,,,,,,,,2022-04-07
25,AVG,177.55,163.57,1.58,74.79,15.12,59.68,74.8,75.66,14.96,2022-04-07
26,,,,,,,,,,,2022-04-07
27,MAX,189.5,174.7,2.7,75.1,15.8,61.0,75.1,75.9,15.5,2022-04-07
28,MIN,154.6,142.2,0.0,74.1,13.9,58.7,74.3,75.4,13.8,2022-04-07
29,1,172.8,160.4,0.0,74.8,15.1,59.7,74.7,75.7,14.9,2022-04-08
30,2,174.2,161.8,0.0,74.7,15.1,59.6,74.6,75.5,14.9,2022-04-08
31,3,168.6,156.2,0.0,74.6,14.9,59.7,74.6,75.4,14.7,2022-04-08
32,4,169.5,157.1,0.0,74.5,14.9,59.6,74.4,75.3,14.8,2022-04-08
33,5,169.3,156.9,0.0,74.2,15.0,59.2,74.2,75.1,14.9,2022-04-08
34,6,172.6,160.2,0.0,74.1,15.0,59.1,74.0,74.9,14.9,2022-04-08
35,7,175.2,160.4,2.4,74.1,15.0,59.1,74.1,74.9,14.8,2022-04-08
36,8,168.7,153.9,2.4,74.3,14.7,59.6,74.2,75.1,14.6,2022-04-08
37,9,162.2,147.4,2.4,74.4,14.4,60.0,74.3,75.2,14.3,2022-04-08
38,10,162.7,147.9,2.4,74.4,14.5,59.9,74.3,75.1,14.4,2022-04-08
39,11,161.4,146.6,2.4,74.4,14.4,60.0,74.3,75.2,14.3,2022-04-08
40,12,160.5,145.7,2.4,74.4,14.4,60.0,74.3,75.1,14.3,2022-04-08
41,13,160.1,145.3,2.4,74.4,14.4,60.0,74.3,75.1,14.4,2022-04-08
42,14,161.1,146.3,2.4,74.4,14.5,59.9,74.3,75.2,14.4,2022-04-08
43,15,163.6,148.8,2.4,74.2,14.7,59.5,74.2,75.1,14.6,2022-04-08
44,16,175.6,160.7,2.5,74.1,15.3,58.8,74.1,75.1,15.1,2022-04-08
45,17,175.3,160.5,2.4,74.1,15.2,58.9,74.1,75.1,15.0,2022-04-08
46,18,176.1,161.3,2.4,74.2,15.3,58.9,74.2,75.1,15.1,2022-04-08
47,19,174.8,160.0,2.4,74.3,15.1,59.2,74.2,75.1,15.0,2022-04-08
48,20,170.4,155.6,2.4,74.4,14.9,59.5,74.4,75.3,14.7,2022-04-08
49,21,172.7,157.9,2.4,74.4,14.9,59.5,74.3,75.2,14.7,2022-04-08
50,22,159.7,146.0,1.3,74.6,14.0,60.6,74.4,75.2,14.0,2022-04-08
51,23,147.7,135.3,0.0,74.7,13.5,61.2,74.6,75.3,13.6,2022-04-08
52,24,144.4,132.0,0.0,74.7,13.4,61.3,74.5,75.3,13.4,2022-04-08
53,,,,,,,,,,,2022-04-08
54,AVG,166.63,152.68,1.56,74.39,14.69,59.7,74.32,75.19,14.58,2022-04-08
55,,,,,,,,,,,2022-04-08
56,MAX,176.1,161.8,2.5,74.8,15.3,61.3,74.7,75.7,15.1,2022-04-08
57,MIN,144.4,132.0,0.0,74.1,13.4,58.8,74.0,74.9,13.4,2022-04-08
58,1,145.9,133.5,0.0,74.5,13.3,61.2,74.4,75.1,13.3,2022-04-09
59,2,146.0,133.6,0.0,74.5,13.3,61.2,74.3,75.1,13.3,2022-04-09
60,3,149.2,136.8,0.0,74.4,13.4,61.0,74.2,75.0,13.4,2022-04-09
61,4,149.1,136.7,0.0,74.3,13.4,60.9,74.1,74.9,13.3,2022-04-09
62,5,149.6,137.2,0.0,74.1,13.4,60.7,73.9,74.8,13.4,2022-04-09
63,6,149.3,136.9,0.0,74.0,13.5,60.5,73.9,74.7,13.3,2022-04-09
64,7,153.8,139.1,2.3,74.0,13.6,60.4,73.8,74.7,13.5,2022-04-09
65,8,151.4,136.7,2.3,74.0,13.7,60.3,73.9,74.7,13.6,2022-04-09
66,9,151.7,137.0,2.3,74.0,13.4,60.6,73.8,74.7,13.3,2022-04-09
67,10,152.0,137.3,2.3,73.8,13.4,60.4,73.7,74.5,13.3,2022-04-09
68,11,151.9,137.2,2.3,73.8,13.4,60.4,73.7,74.5,13.3,2022-04-09
69,12,151.6,136.8,2.4,73.6,13.5,60.1,73.6,74.4,13.3,2022-04-09
70,13,152.5,137.7,2.4,73.6,13.5,60.1,73.4,74.3,13.4,2022-04-09
71,14,153.4,138.6,2.4,73.5,13.5,60.0,73.3,74.2,13.4,2022-04-09
72,15,153.1,138.3,2.4,73.5,13.6,59.9,73.4,74.2,13.5,2022-04-09
73,16,153.0,138.2,2.4,73.5,13.5,60.0,73.3,74.1,13.3,2022-04-09
74,17,153.3,138.5,2.4,73.3,13.6,59.7,73.2,74.0,13.4,2022-04-09
75,18,155.3,140.5,2.4,73.2,13.6,59.6,73.1,73.9,13.5,2022-04-09
76,19,154.2,139.5,2.3,73.3,13.5,59.8,73.2,74.0,13.4,2022-04-09
77,20,154.3,139.6,2.3,73.3,13.5,59.8,73.1,74.0,13.4,2022-04-09
78,21,152.9,138.2,2.3,73.4,13.4,60.0,73.2,74.0,13.3,2022-04-09
79,22,152.6,139.0,1.2,73.3,13.3,60.0,73.2,74.0,13.2,2022-04-09
80,23,150.9,138.5,0.0,73.3,13.3,60.0,73.2,74.0,13.2,2022-04-09
81,24,151.3,137.2,1.7,73.2,13.2,60.0,73.3,74.0,13.1,2022-04-09
82,,,,,,,,,,,2022-04-09
83,AVG,151.6,137.61,1.59,73.72,13.45,60.27,73.59,74.41,13.35,2022-04-09
84,,,,,,,,,,,2022-04-09
85,MAX,155.3,140.5,2.4,74.5,13.7,61.2,74.4,75.1,13.6,2022-04-09
