,Hour,Total Outflow kcfs,Generation Flow kcfs,Spill kcfs,Forebay Elevation,Tailwater Elevation,Average Head,Nav Lock Tailwater Elevation,Date,0
0,1,36.3,13.7,22.1,437.3,340.21,97.09,340.48,2022-04-07,
1,2,36.4,13.7,22.1,437.26,340.18,97.08,340.65,2022-04-07,
2,3,37.8,13.8,22.1,437.23,340.19,97.04,340.72,2022-04-07,
3,4,36.4,13.8,22.1,437.22,340.25,96.97,340.69,2022-04-07,
4,5,36.4,13.8,22.1,437.26,340.26,97.0,340.59,2022-04-07,
5,6,36.3,13.7,22.1,437.33,340.29,97.04,340.76,2022-04-07,
6,7,36.3,13.7,22.1,437.34,340.14,97.2,340.46,2022-04-07,
7,8,36.1,13.7,22.0,437.32,340.1,97.22,340.52,2022-04-07,
8,9,36.2,13.7,21.9,437.37,340.15,97.22,340.63,2022-04-07,
9,10,36.2,13.7,22.0,437.37,340.05,97.32,340.57,2022-04-07,
10,11,36.2,13.7,22.0,437.38,340.14,97.24,340.61,2022-04-07,
11,12,36.1,13.8,21.8,437.43,340.03,97.4,340.28,2022-04-07,
12,13,30.2,13.8,15.9,437.47,339.77,97.7,340.0,2022-04-07,
13,14,31.7,13.8,16.0,437.53,339.97,97.56,340.23,2022-04-07,
14,15,30.1,13.6,16.0,437.57,339.85,97.72,340.08,2022-04-07,
15,16,30.1,13.6,16.0,437.47,339.84,97.63,340.14,2022-04-07,
16,17,30.1,13.6,16.1,437.66,339.8,97.86,340.11,2022-04-07,
17,18,30.2,13.5,16.1,437.64,339.88,97.76,340.05,2022-04-07,
18,19,36.4,13.4,21.0,437.54,340.0,97.54,340.48,2022-04-07,
19,20,35.1,13.3,21.2,437.64,339.98,97.66,340.52,2022-04-07,
20,21,34.9,13.2,21.2,437.62,339.89,97.73,340.32,2022-04-07,
21,22,35.9,13.3,22.2,437.63,340.46,97.17,340.76,2022-04-07,
22,23,43.7,13.2,30.0,437.57,340.75,96.82,341.02,2022-04-07,
23,24,43.9,13.2,30.2,437.78,340.69,97.09,341.06,2022-04-07,
24,,,,,,,,,2022-04-07,
25,AVG,35.38,13.6,21.1,437.46,340.12,97.34,340.49,2022-04-07,
26,,,,,,,,,2022-04-07,
27,MAX,43.9,13.8,30.2,437.78,340.75,97.86,341.06,2022-04-07,
28,MIN,30.1,13.2,15.9,437.22,339.77,96.82,340.0,2022-04-07,
29,1,43.9,13.2,30.2,437.7,340.73,96.97,341.07,2022-04-08,
30,2,44.0,13.2,30.2,437.86,340.71,97.15,341.03,2022-04-08,
31,3,44.0,13.2,30.3,437.87,340.73,97.14,341.18,2022-04-08,
32,4,45.6,13.2,30.4,437.99,340.78,97.21,341.23,2022-04-08,
33,5,45.7,13.3,30.4,437.92,340.94,96.98,341.28,2022-04-08,
34,6,44.1,13.4,30.2,437.93,340.74,97.19,341.06,2022-04-08,
35,7,45.3,13.3,30.0,437.79,340.91,96.88,341.26,2022-04-08,
36,8,43.8,13.3,30.0,438.01,340.88,97.13,341.49,2022-04-08,
37,9,43.9,13.3,30.1,437.99,340.89,97.1,341.23,2022-04-08,
38,10,44.0,13.4,30.1,438.08,340.92,97.16,341.3,2022-04-08,
39,11,44.0,13.3,30.1,438.08,340.81,97.27,341.25,2022-04-08,
40,12,43.9,13.3,30.1,438.08,340.9,97.18,341.26,2022-04-08,
41,13,43.9,13.3,30.1,438.02,340.86,97.16,341.39,2022-04-08,
42,14,43.8,13.3,30.0,437.82,341.04,96.78,341.39,2022-04-08,
43,15,43.6,13.4,29.8,437.86,341.02,96.84,341.32,2022-04-08,
44,16,43.8,13.3,30.0,437.83,340.89,96.94,341.17,2022-04-08,
45,17,43.5,13.2,29.8,437.64,340.9,96.74,341.39,2022-04-08,
