LEMON DAM,Max T,Min T,Precipitation,Snowfall
4/1/1982,45,20,0,0
4/2/1982,47,15,0,0
4/3/1982,50,21,0,0
4/4/1982,51,24,0,0
4/5/1982,49,30,0,0
4/6/1982,50,28,0,0
4/7/1982,48,23,0,0
4/8/1982,44,24,0,0
4/9/1982,53,15,0,0
4/10/1982,58,M,0,0
4/11/1982,60,34,0,0
4/12/1982,59,36,0.05,1
4/13/1982,61,27,0,0
4/14/1982,61,25,0,0
4/15/1982,58,26,0,0
4/16/1982,57,27,0,0
4/17/1982,58,21,0,0
4/18/1982,59,25,0,0
4/19/1982,50,28,0,0
4/20/1982,39,20,0,0
4/21/1982,42,22,0.36,3
4/22/1982,41,24,0,0
4/23/1982,44,30,0.24,2
4/24/1982,43,27,0,0
4/25/1982,61,29,0,0
4/26/1982,57,34,0,0
4/27/1982,57,30,0,0
4/28/1982,65,27,0,0
4/29/1982,67,31,0,0
4/30/1982,62,33,0,0
5/1/1982,M,M,M,M
5/2/1982,M,M,M,M
5/3/1982,M,M,M,M
5/4/1982,M,M,M,M
5/5/1982,M,M,M,M
5/6/1982,M,M,M,M
5/7/1982,M,M,M,M
5/8/1982,M,M,M,M
5/9/1982,M,M,M,M
5/10/1982,M,M,M,M
5/11/1982,M,M,M,M
5/12/1982,M,M,M,M
5/13/1982,M,M,M,M
5/14/1982,M,M,M,M
5/15/1982,M,M,M,M
5/16/1982,M,M,M,M
5/17/1982,M,M,M,M
5/18/1982,M,M,M,M
5/19/1982,M,M,M,M
5/20/1982,M,M,M,M
5/21/1982,M,M,M,M
5/22/1982,M,M,M,M
5/23/1982,M,M,M,M
5/24/1982,M,M,M,M
5/25/1982,M,M,M,M
5/26/1982,M,M,M,M
5/27/1982,M,M,M,M
5/28/1982,M,M,M,M
5/29/1982,M,M,M,M
5/30/1982,M,M,M,M
5/31/1982,M,M,M,M
6/1/1982,66,35,0,0
6/2/1982,66,35,0,0
6/3/1982,67,34,0,0
6/4/1982,70,33,0,0
6/5/1982,66,33,0,0
6/6/1982,68,31,0,0
6/7/1982,68,30,0,0
6/8/1982,67,32,0,0
6/9/1982,70,34,0,0
6/10/1982,70,32,0,0
6/11/1982,75,38,0,0
6/12/1982,72,39,0,0
6/13/1982,74,38,0,0
6/14/1982,68,37,0,0
6/15/1982,66,36,0,0
6/16/1982,70,38,0,0
6/17/1982,72,39,0,0
6/18/1982,74,41,0,0
6/19/1982,68,46,0,0
6/20/1982,70,39,0.03,0
6/21/1982,68,36,0.04,0
6/22/1982,74,40,0,0
6/23/1982,74,41,0,0
6/24/1982,75,40,0,0
6/25/1982,77,41,0,0
6/26/1982,81,42,0,0
6/27/1982,79,42,0,0
